Ticker,Date,mean_sent,n_tweets,pos_share,neg_share
MSFT,2021-09-30,0.7866666666666666,3,1.0,0.0
MSFT,2021-10-01,0.49532857142857145,14,1.0,0.0
MSFT,2021-10-03,0.74905,6,1.0,0.0
MSFT,2021-10-04,0.42193846153846154,26,0.8076923076923077,0.0
MSFT,2021-10-05,-0.028566666666666667,3,0.6666666666666666,0.3333333333333333
MSFT,2021-10-06,0.1723111111111111,18,0.5555555555555556,0.05555555555555555
MSFT,2021-10-07,0.3631809523809524,21,1.0,0.0
MSFT,2021-10-08,0.0,7,0.0,0.0
MSFT,2021-10-09,0.3818,6,1.0,0.0
MSFT,2021-10-10,0.8874363636363636,11,1.0,0.0
MSFT,2021-10-12,0.30165000000000003,12,0.8333333333333334,0.0
MSFT,2021-10-13,0.1524857142857143,7,0.8571428571428571,0.0
MSFT,2021-10-14,0.6808,4,1.0,0.0
MSFT,2021-10-15,0.4048,4,1.0,0.0
MSFT,2021-10-16,0.9633,1,1.0,0.0
MSFT,2021-10-17,0.63463,20,0.75,0.0
MSFT,2021-10-18,0.36800000000000005,15,0.6,0.0
MSFT,2021-10-19,0.12540540540540543,37,0.6216216216216216,0.3783783783783784
MSFT,2021-10-20,0.40942758620689657,29,0.6896551724137931,0.1724137931034483
MSFT,2021-10-21,-0.03490909090909091,11,0.0,0.2727272727272727
MSFT,2021-10-22,0.2848952380952381,21,0.9523809523809523,0.047619047619047616
MSFT,2021-10-23,0.136584,25,0.32,0.0
MSFT,2021-10-24,0.4515925925925926,27,0.7037037037037037,0.0
MSFT,2021-10-25,0.013841935483870974,31,0.3548387096774194,0.3225806451612903
MSFT,2021-10-26,0.026812499999999996,16,0.125,0.125
MSFT,2021-10-27,0.17486296296296297,27,0.4444444444444444,0.14814814814814814
MSFT,2021-10-28,0.24282083333333335,24,0.5833333333333334,0.25
MSFT,2021-10-29,0.21280000000000002,45,0.6666666666666666,0.1111111111111111
MSFT,2021-10-30,0.564425,8,1.0,0.0
MSFT,2021-10-31,0.7618,4,1.0,0.0
MSFT,2021-11-01,0.858409090909091,11,1.0,0.0
MSFT,2021-11-02,0.20180555555555554,18,0.3888888888888889,0.0
MSFT,2021-11-03,0.16468181818181818,11,0.45454545454545453,0.09090909090909091
MSFT,2021-11-04,0.11215,8,0.25,0.0
MSFT,2021-11-05,0.2445578947368421,19,0.42105263157894735,0.0
MSFT,2021-11-06,0.80246,5,1.0,0.0
MSFT,2021-11-07,0.20292000000000002,45,0.3333333333333333,0.0
MSFT,2021-11-08,0.5174095238095239,21,0.8095238095238095,0.0
MSFT,2021-11-09,0.1606857142857143,14,0.2857142857142857,0.07142857142857142
MSFT,2021-11-10,0.66144,5,0.8,0.0
MSFT,2021-11-11,0.0258,2,0.5,0.0
MSFT,2021-11-12,0.4443,11,1.0,0.0
MSFT,2021-11-13,0.0044,4,0.25,0.0
MSFT,2021-11-14,0.195534375,32,0.28125,0.0
MSFT,2021-11-15,0.566905,20,0.8,0.0
MSFT,2021-11-16,0.403825,28,0.7857142857142857,0.21428571428571427
MSFT,2021-11-17,0.33072,5,0.4,0.0
MSFT,2021-11-18,0.50358,10,1.0,0.0
MSFT,2021-11-19,0.303,11,1.0,0.0
MSFT,2021-11-20,0.22544285714285714,14,0.7142857142857143,0.2857142857142857
MSFT,2021-11-21,-0.057412500000000005,16,0.0,0.375
MSFT,2021-11-22,0.5878742857142858,35,0.7714285714285715,0.05714285714285714
MSFT,2021-11-23,0.722552380952381,21,1.0,0.0
MSFT,2021-11-24,0.58565,6,1.0,0.0
MSFT,2021-11-25,0.27136,5,0.4,0.6
MSFT,2021-11-26,-0.0032062500000000216,16,0.625,0.375
MSFT,2021-11-27,-0.6486,1,0.0,1.0
MSFT,2021-11-28,0.3643,24,0.5833333333333334,0.0
MSFT,2021-11-29,0.7679736842105264,19,0.8947368421052632,0.10526315789473684
MSFT,2021-11-30,0.19433333333333333,12,1.0,0.0
MSFT,2021-12-01,0.0761125,16,0.75,0.25
MSFT,2021-12-02,0.45195454545454544,11,1.0,0.0
MSFT,2021-12-03,0.2629392857142857,28,0.6785714285714286,0.10714285714285714
MSFT,2021-12-04,0.42550000000000004,6,0.8333333333333334,0.0
MSFT,2021-12-05,0.0,11,0.0,0.0
MSFT,2021-12-06,0.4545619047619048,21,0.6666666666666666,0.047619047619047616
MSFT,2021-12-07,0.2141294117647059,17,0.5294117647058824,0.0
MSFT,2021-12-08,0.4278,6,1.0,0.0
MSFT,2021-12-09,0.3000923076923077,39,0.6666666666666666,0.2564102564102564
MSFT,2021-12-10,0.06999999999999999,16,0.5,0.3125
MSFT,2021-12-11,0.04242727272727274,22,0.5909090909090909,0.3181818181818182
MSFT,2021-12-12,0.06319333333333334,15,0.13333333333333333,0.06666666666666667
MSFT,2021-12-13,0.6105565217391304,23,0.8695652173913043,0.0
MSFT,2021-12-14,0.28218333333333334,6,0.6666666666666666,0.0
MSFT,2021-12-15,0.48292500000000005,24,1.0,0.0
MSFT,2021-12-16,0.1598,16,0.375,0.0
MSFT,2021-12-17,0.4741857142857142,21,0.9047619047619048,0.047619047619047616
MSFT,2021-12-18,0.626785,20,1.0,0.0
MSFT,2021-12-19,0.5416571428571428,7,1.0,0.0
