ticker,model,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,roc_auc,tn,fp,fn,tp,best_params
MSFT,LogReg,Price-only,0.7640807651434643,0.7634644578382059,0.770440701119258,0.7640807651434643,0.8560891783114005,342,144,78,377,"{""C"": 2.0104374738584303, ""solver"": ""lbfgs"", ""class_weight"": null}"
MSFT,LogReg,Price + Sentiment,0.7587672688629118,0.7585268965121731,0.7624200442426585,0.7587672688629118,0.853172342061231,348,138,89,366,"{""C"": 2.6949195176681073e-05, ""solver"": ""lbfgs"", ""class_weight"": null}"
MSFT,LogReg,Price-only,0.7640807651434643,0.7634644578382059,0.770440701119258,0.7640807651434643,0.8560891783114005,342,144,78,377,"{""C"": 2.0104374738584303, ""solver"": ""lbfgs"", ""class_weight"": null}"
MSFT,LogReg,Price + Sentiment,0.7587672688629118,0.7585268965121731,0.7624200442426585,0.7587672688629118,0.853172342061231,348,138,89,366,"{""C"": 2.6949195176681073e-05, ""solver"": ""lbfgs"", ""class_weight"": null}"
MSFT,LogReg,Price-only,0.7640807651434643,0.7634644578382059,0.770440701119258,0.7640807651434643,0.8560891783114005,342,144,78,377,"{""C"": 2.0104374738584303, ""solver"": ""lbfgs"", ""class_weight"": null}"
MSFT,LogReg,Price + Sentiment,0.7587672688629118,0.7585268965121731,0.7624200442426585,0.7587672688629118,0.853172342061231,348,138,89,366,"{""C"": 2.6949195176681073e-05, ""solver"": ""lbfgs"", ""class_weight"": null}"
MSFT,LogReg,Price-only,0.7640807651434643,0.7634644578382059,0.770440701119258,0.7640807651434643,0.8560891783114005,342,144,78,377,"{""C"": 2.0104374738584303, ""solver"": ""lbfgs"", ""class_weight"": null}"
MSFT,LogReg,Price + Sentiment,0.7587672688629118,0.7585268965121731,0.7624200442426585,0.7587672688629118,0.853172342061231,348,138,89,366,"{""C"": 2.6949195176681073e-05, ""solver"": ""lbfgs"", ""class_weight"": null}"
MSFT,LogReg,Price-only,0.7640807651434643,0.7634644578382059,0.770440701119258,0.7640807651434643,0.8560891783114005,342,144,78,377,"{""C"": 2.0104374738584303, ""solver"": ""lbfgs"", ""class_weight"": null}"
MSFT,LogReg,Price + Sentiment,0.7587672688629118,0.7585268965121731,0.7624200442426585,0.7587672688629118,0.853172342061231,348,138,89,366,"{""C"": 2.6949195176681073e-05, ""solver"": ""lbfgs"", ""class_weight"": null}"
MSFT,LogReg,Price-only,0.7640807651434643,0.7634644578382059,0.770440701119258,0.7640807651434643,0.8560891783114005,342,144,78,377,"{""C"": 2.0104374738584303, ""solver"": ""lbfgs"", ""class_weight"": null}"
MSFT,LogReg,Price + Sentiment,0.7587672688629118,0.7585268965121731,0.7624200442426585,0.7587672688629118,0.853172342061231,348,138,89,366,"{""C"": 2.6949195176681073e-05, ""solver"": ""lbfgs"", ""class_weight"": null}"
MSFT,LogReg,Price-only,0.5050505050505051,0.5013764094432699,0.5007981226297601,0.5050505050505051,0.5111726827265963,74,109,87,126,"{""C"": 0.0008715330155620609, ""solver"": ""liblinear"", ""class_weight"": null}"
MSFT,LogReg,Price + Sentiment,0.5050505050505051,0.5013764094432699,0.5007981226297601,0.5050505050505051,0.5111726827265963,74,109,87,126,"{""C"": 0.0008715330155620609, ""solver"": ""liblinear"", ""class_weight"": null}"
TSLA,LogReg,Price-only,0.5050505050505051,0.5050631303469096,0.5051015202530355,0.5050505050505051,0.527704081632653,99,97,99,101,"{""C"": 1.52500212498054, ""solver"": ""liblinear"", ""class_weight"": ""balanced""}"
TSLA,LogReg,Price + Sentiment,0.5050505050505051,0.5050631303469096,0.5051015202530355,0.5050505050505051,0.527704081632653,99,97,99,101,"{""C"": 1.52500212498054, ""solver"": ""liblinear"", ""class_weight"": ""balanced""}"
GOOGL,LogReg,Price-only,0.4898989898989899,0.4832736226101156,0.5165573543655736,0.4898989898989899,0.5357402408637874,110,62,140,84,"{""C"": 0.046420436868672005, ""solver"": ""liblinear"", ""class_weight"": ""balanced""}"
GOOGL,LogReg,Price + Sentiment,0.4898989898989899,0.4832736226101156,0.5165573543655736,0.4898989898989899,0.5357402408637874,110,62,140,84,"{""C"": 0.046420436868672005, ""solver"": ""liblinear"", ""class_weight"": ""balanced""}"
TSLA,LogReg,Price-only,0.5050505050505051,0.5050631303469096,0.5051015202530355,0.5050505050505051,0.527704081632653,99,97,99,101,"{""C"": 1.52500212498054, ""solver"": ""liblinear"", ""class_weight"": ""balanced""}"
TSLA,LogReg,Price + Sentiment,0.5050505050505051,0.5050631303469096,0.5051015202530355,0.5050505050505051,0.527704081632653,99,97,99,101,"{""C"": 1.52500212498054, ""solver"": ""liblinear"", ""class_weight"": ""balanced""}"
MSFT,LogReg,Price-only,0.5050505050505051,0.5013764094432699,0.5007981226297601,0.5050505050505051,0.5111726827265963,74,109,87,126,"{""C"": 0.0008715330155620609, ""solver"": ""liblinear"", ""class_weight"": null}"
MSFT,LogReg,Price + Sentiment,0.5050505050505051,0.5013764094432699,0.5007981226297601,0.5050505050505051,0.5111726827265963,74,109,87,126,"{""C"": 0.0008715330155620609, ""solver"": ""liblinear"", ""class_weight"": null}"
TSLA,LogReg,Price-only,0.5050505050505051,0.5050631303469096,0.5051015202530355,0.5050505050505051,0.527704081632653,99,97,99,101,"{""C"": 1.52500212498054, ""solver"": ""liblinear"", ""class_weight"": ""balanced""}"
TSLA,LogReg,Price + Sentiment,0.5050505050505051,0.5050631303469096,0.5051015202530355,0.5050505050505051,0.527704081632653,99,97,99,101,"{""C"": 1.52500212498054, ""solver"": ""liblinear"", ""class_weight"": ""balanced""}"
