model,run_dir,ticker,horizon,seq_len,val_auc,val_f1,val_precision,val_recall,test_auc,test_f1,test_precision,test_recall,best_threshold
cnn1d,.\runs\cnn1d_GOOGL_h10_L60_MB,GOOGL,10,60,0.5456030897207368,0.7936507936507936,0.6666666666666666,0.9803921568627451,0.4879940711462451,0.7621052631578947,0.6219931271477663,0.9836956521739131,0.48499999999999993
cnn1d,.\runs\cnn1d_MSFT_h10_L60_MB,MSFT,10,60,0.4984610123119015,0.8349514563106796,0.7166666666666667,1.0,0.5178857951864086,0.7149122807017543,0.5563139931740614,1.0,0.05
cnn1d,.\runs\cnn1d_TSLA_h10_L60_MB,TSLA,10,60,0.5513704686118479,0.7125307125307125,0.5534351145038168,1.0,0.6144712726113635,0.716297786720322,0.5579937304075235,1.0,0.05
lstm,.\runs\lstm_20250928_134239,GOOGL,10,60,0.5161913250148544,0.781491002570694,0.6440677966101694,0.9934640522875817,0.49629446640316205,0.7179487179487181,0.6285714285714286,0.8369565217391305,0.39499999999999996
