epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_auc,val_loss,val_acc,val_precision,val_recall,val_f1,val_auc,lr
1,0.7583565413951874,0.5065082059988681,0.5441176470588235,0.6115702479338843,0.5758754863813229,0.49181893172250435,0.6267715295155843,0.44656488549618323,0.0,0.0,0.0,0.6061892130857648,0.0002
2,0.6902881179537091,0.5132993774759479,0.5626450116009281,0.5010330578512396,0.5300546448087432,0.5307590066095016,0.6256201068560282,0.46946564885496184,1.0,0.041379310344827586,0.07947019867549669,0.5777777777777778,0.0002
3,0.6847897597721645,0.5127334465195246,0.5607264472190693,0.5103305785123967,0.5343428880475933,0.5156335657174774,0.6262195507685343,0.5,0.8181818181818182,0.12413793103448276,0.2155688622754491,0.5592690834070144,0.0002
4,0.6684354969433376,0.5172608941709111,0.5609756097560976,0.5464876033057852,0.5536368393511251,0.5348951168299217,0.6269208590189616,0.5152671755725191,0.6666666666666666,0.2482758620689655,0.36180904522613067,0.5557913351016799,0.0002
5,0.643342810017722,0.5246179966044142,0.5786240786240786,0.4865702479338843,0.5286195286195287,0.5511796770756835,0.6276034116744995,0.5114503816793893,0.6545454545454545,0.2482758620689655,0.36,0.560271146478043,0.0002
6,0.6380311463560376,0.5246179966044142,0.5692640692640693,0.5433884297520661,0.5560253699788583,0.5505551877863859,0.6287592252095541,0.4961832061068702,0.6065573770491803,0.25517241379310346,0.3592233009708738,0.5508694370763336,0.0002
7,0.6342392265796661,0.5359366157328805,0.5934343434343434,0.4855371900826446,0.5340909090909091,0.5529703968803981,0.6283347209294637,0.5305343511450382,0.7115384615384616,0.25517241379310346,0.3756345177664975,0.5513704686118479,0.0002
8,0.6319856813975743,0.5291454442558008,0.5823244552058111,0.496900826446281,0.5362318840579711,0.5546680251140372,0.6280139287312826,0.5343511450381679,0.896551724137931,0.1793103448275862,0.2988505747126437,0.54447391688771,0.0002
9,0.6171878235680717,0.5466893039049237,0.6014580801944107,0.5113636363636364,0.5527638190954773,0.5793437561414578,0.6297675768534342,0.5076335877862596,0.6379310344827587,0.25517241379310346,0.3645320197044335,0.5430002947244327,0.0002
10,0.6295569539070129,0.5155631013016412,0.5681265206812652,0.4824380165289256,0.5217877094972067,0.5436030575409344,0.6301186283429464,0.5114503816793893,0.6491228070175439,0.25517241379310346,0.36633663366336633,0.5487768936044799,0.0002
11,0.6194527319499424,0.5529145444255801,0.5995525727069351,0.5537190082644629,0.5757250268528464,0.575691204915235,0.6300479372342428,0.5076335877862596,0.6379310344827587,0.25517241379310346,0.3645320197044335,0.5434129089301504,0.0002
12,0.6098585937704358,0.5540464063384267,0.6113861386138614,0.5103305785123967,0.5563063063063063,0.5909452931867313,0.6290273467699686,0.5114503816793893,0.7073170731707317,0.2,0.3118279569892473,0.5371058060713233,0.0002
13,0.6037048740046365,0.55800792303339,0.6296809986130375,0.4690082644628099,0.5375962107756068,0.6078918379379183,0.6288248896598816,0.5267175572519084,0.8888888888888888,0.16551724137931034,0.27906976744186046,0.538225758915414,0.0001
14,0.6040645667484829,0.5693265421618563,0.6419753086419753,0.4834710743801653,0.5515615792575133,0.6161420784244769,0.6290899515151978,0.5229007633587787,0.7941176470588235,0.18620689655172415,0.3016759776536313,0.533745947539051,0.0001
15,0.6106963455677032,0.55461233729485,0.6113161131611317,0.5134297520661157,0.5581134194272881,0.5961079965659554,0.6300262808799744,0.5076335877862596,0.6538461538461539,0.23448275862068965,0.34517766497461927,0.5298555850279989,0.0001
16,0.6050948926380703,0.5659309564233164,0.6264150943396226,0.5144628099173554,0.5649461145774248,0.6037182325013705,0.6310842434565226,0.5,0.6296296296296297,0.23448275862068965,0.3417085427135678,0.5259652225169467,0.0001
17,0.6085768512317112,0.5568760611205433,0.6134969325153374,0.5165289256198347,0.5608524957936063,0.6033924120026065,0.6314069032669067,0.5114503816793893,0.7073170731707317,0.2,0.3118279569892473,0.528735632183908,0.0001
18,0.6054345709936959,0.568760611205433,0.6277915632754343,0.5227272727272727,0.5704622322435174,0.6040039719070325,0.6320099830627441,0.5152671755725191,0.7045454545454546,0.21379310344827587,0.328042328042328,0.5278514588859415,0.0001
19,0.6081028027193887,0.5664968873797397,0.6216867469879518,0.5330578512396694,0.5739710789766407,0.6061502497957157,0.6330234209696451,0.5190839694656488,0.6938775510204082,0.23448275862068965,0.35051546391752575,0.5256704980842912,5e-05
20,0.6063818889004844,0.5585738539898133,0.6166253101736973,0.5134297520661157,0.560315670800451,0.600867303137186,0.6337271928787231,0.5038167938931297,0.6271186440677966,0.25517241379310346,0.3627450980392157,0.5240789861479517,5e-05
