epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_auc,val_loss,val_acc,val_precision,val_recall,val_f1,val_auc,lr
1,0.6819375673929851,0.6325431034482759,0.6407551360355358,0.9705634987384356,0.7719063545150502,0.5072213682897828,0.6782952547073364,0.6942446043165468,0.7063197026022305,0.9693877551020408,0.8172043010752689,0.5575535092085615,0.0003
2,0.6729650815327962,0.6422413793103449,0.6425855513307985,0.9949537426408747,0.7808580858085808,0.5407502304356652,0.6775760849316915,0.6942446043165468,0.7047970479704797,0.9744897959183674,0.8179871520342612,0.5582379293180687,0.0003
3,0.6663076877593994,0.6460129310344828,0.6464757709251101,0.9873843566021867,0.7813643926788686,0.5433672986887548,0.690011183420817,0.6294964028776978,0.7384615384615385,0.7346938775510204,0.7365728900255755,0.5652687904430065,0.0003
4,0.6578763842582702,0.6411637931034483,0.6426623022367703,0.990748528174937,0.7796161482461945,0.550801134336112,0.6802149216334025,0.7086330935251799,0.7137546468401487,0.9795918367346939,0.8258064516129032,0.5643977103036337,0.0003
5,0.6543380935986837,0.640625,0.6409287257019438,0.9983179142136249,0.7806642551792173,0.5502179524199212,0.6701564391454061,0.7050359712230215,0.7050359712230215,1.0,0.8270042194092827,0.5648332503733201,0.0003
6,0.6495282967885335,0.640625,0.640625,1.0,0.780952380952381,0.555378324294539,0.6467954913775126,0.7050359712230215,0.7050359712230215,1.0,0.8270042194092827,0.5747262319561971,0.0003
7,0.6456775387128194,0.640625,0.640625,1.0,0.780952380952381,0.5744865162036308,0.6516322294871012,0.7050359712230215,0.7050359712230215,1.0,0.8270042194092827,0.5803882528621205,0.0003
8,0.6398034016291301,0.640625,0.6407766990291263,0.9991589571068125,0.7808084127505751,0.5957849502498541,0.6662495930989584,0.7589928057553957,0.7529411764705882,0.9795918367346939,0.8514412416851441,0.5845569935291188,0.0003
9,0.6399919191996256,0.6460129310344828,0.6445652173913043,0.9974768713204374,0.7830967315945857,0.6175347986225559,0.6864661773045858,0.5755395683453237,0.7468354430379747,0.6020408163265306,0.6666666666666666,0.588290194126431,0.0003
10,0.6336983799934387,0.6519396551724138,0.6545247581104154,0.9671993271656855,0.7807196198234895,0.6260107961158193,0.7181378602981567,0.420863309352518,0.7215189873417721,0.29081632653061223,0.41454545454545455,0.5881035340965655,0.0003
11,0.6332229614257813,0.6557112068965517,0.6623376623376623,0.943650126156434,0.7783558792924038,0.6343764618952088,0.7513321240743002,0.39928057553956836,0.7735849056603774,0.20918367346938777,0.3293172690763052,0.5953832752613241,0.0003
12,0.6262301047643025,0.6578663793103449,0.6666666666666666,0.9318755256518082,0.777271132935812,0.6485966436462174,0.7950588266054789,0.381294964028777,0.8529411764705882,0.14795918367346939,0.25217391304347825,0.5914011946241912,0.0003
13,0.6251107613245647,0.6605603448275862,0.6684749849306811,0.9327165685449958,0.7787921348314607,0.6536265088649955,0.8355181217193604,0.34172661870503596,0.8095238095238095,0.08673469387755102,0.15668202764976957,0.5826281732205076,0.0003
14,0.6208492437998454,0.6594827586206896,0.6682779456193354,0.9301934398654331,0.7777777777777778,0.654127099612515,0.8788504004478455,0.32014388489208634,0.8888888888888888,0.04081632653061224,0.07804878048780488,0.5738551518168243,0.00015
15,0.6180982232093811,0.662176724137931,0.6719706242350061,0.9234650967199327,0.7778958554729012,0.6575164898627222,0.861019512017568,0.34532374100719426,0.8181818181818182,0.09183673469387756,0.1651376146788991,0.5862369337979094,0.00015
16,0.61776362657547,0.6610991379310345,0.6707317073170732,0.9251471825063078,0.7776599505125487,0.657638800448388,0.8917702237764994,0.33093525179856115,0.8571428571428571,0.061224489795918366,0.11428571428571428,0.567882030861125,0.00015
17,0.6133000095685323,0.6643318965517241,0.6719319562575942,0.9301934398654331,0.7802469135802469,0.6671802870642056,0.8831138412157694,0.34172661870503596,0.8095238095238095,0.08673469387755102,0.15668202764976957,0.5739173718267796,0.00015
