epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_auc,val_loss,val_acc,val_precision,val_recall,val_f1,val_auc,lr
1,0.5073784268819369,0.5173252279635259,0.6674364896073903,0.533210332103321,0.5928205128205128,0.5246890436818806,0.45608797669410706,0.2833333333333333,0.5,0.023255813953488372,0.044444444444444446,0.4984610123119015,0.0002
2,0.4941840240588555,0.5276595744680851,0.6778679026651216,0.5396678966789668,0.600924499229584,0.5420013023659649,0.46067242324352264,0.2875,1.0,0.005813953488372093,0.011560693641618497,0.5376196990424077,0.0002
3,0.4836865273805765,0.5252279635258359,0.6801426872770512,0.5276752767527675,0.5942857142857143,0.5453295709427682,0.4650513529777527,0.2833333333333333,0.0,0.0,0.0,0.5386456908344733,0.0002
4,0.469018612916653,0.5762917933130699,0.6968463886063072,0.6319188191881919,0.6627963231736816,0.5881612960514631,0.4667685478925705,0.2833333333333333,0.0,0.0,0.0,0.5321477428180574,0.0002
5,0.4706925589304704,0.5623100303951368,0.7072892938496583,0.5728782287822878,0.6330275229357798,0.5813008531154831,0.4667976200580597,0.2833333333333333,0.0,0.0,0.0,0.5370212038303693,0.0002
6,0.4639787834424239,0.5519756838905775,0.7015098722415796,0.5571955719557196,0.6210796915167095,0.587311140491084,0.4673181623220444,0.2833333333333333,0.0,0.0,0.0,0.5449726402188783,0.0002
7,0.4702472251195174,0.5598784194528875,0.6914893617021277,0.5996309963099631,0.642292490118577,0.5733879932382212,0.4669366031885147,0.2833333333333333,0.0,0.0,0.0,0.5416381668946649,0.0001
8,0.4605348133123838,0.5653495440729484,0.7193816884661117,0.5581180811808119,0.6285714285714286,0.6032947227868001,0.4682339280843735,0.2833333333333333,0.0,0.0,0.0,0.5496751025991792,0.0001
9,0.45878204703330994,0.5762917933130699,0.7334137515078407,0.5608856088560885,0.6356508102456874,0.6076014102387013,0.4682084172964096,0.2833333333333333,0.0,0.0,0.0,0.5501025991792066,0.0001
10,0.4612570313306955,0.5617021276595745,0.7232472324723247,0.5424354243542435,0.6199261992619927,0.6015565904322144,0.4692624360322952,0.2833333333333333,0.0,0.0,0.0,0.5520690834473324,0.0001
11,0.4607109794249901,0.5537993920972645,0.71712158808933,0.533210332103321,0.6116402116402117,0.6005239063085819,0.46976444125175476,0.2833333333333333,0.0,0.0,0.0,0.5523683310533516,0.0001
12,0.4603680670261383,0.5799392097264437,0.7235494880546075,0.5867158671586716,0.6479877738155884,0.6081720175490525,0.4692293256521225,0.2833333333333333,0.0,0.0,0.0,0.5541210670314637,0.0001
13,0.46052977213492763,0.5623100303951368,0.7096774193548387,0.5682656826568265,0.6311475409836066,0.5973173234406142,0.46921657025814056,0.2833333333333333,0.0,0.0,0.0,0.5574555403556771,5e-05
14,0.4516294254706456,0.5872340425531914,0.7330264672036824,0.5876383763837638,0.6523297491039427,0.6288043228025864,0.46896106004714966,0.2833333333333333,0.0,0.0,0.0,0.5544630642954855,5e-05
15,0.45150546385691714,0.5738601823708207,0.7260920897284534,0.5673431734317343,0.6369756602796478,0.6289399859239235,0.4691780209541321,0.2833333333333333,0.0,0.0,0.0,0.5491621067031464,5e-05
16,0.4525442902858441,0.5987841945288754,0.7345132743362832,0.6125461254612546,0.6680080482897385,0.6326489334412061,0.4692789316177368,0.2833333333333333,0.0,0.0,0.0,0.5485636114911081,5e-05
17,0.45567076022808367,0.5854103343465046,0.7263513513513513,0.5950184501845018,0.654158215010142,0.6199015332399314,0.46929626166820526,0.2833333333333333,0.0,0.0,0.0,0.5495041039671683,5e-05
18,0.45444069917385393,0.5811550151975684,0.7206703910614525,0.5950184501845018,0.651844365841334,0.619590741361959,0.46905575692653656,0.2833333333333333,0.0,0.0,0.0,0.550530095759234,5e-05
19,0.4532963473063249,0.5811550151975684,0.7326266195524146,0.5738007380073801,0.6435592343507501,0.6211734777775585,0.46923843026161194,0.2833333333333333,0.0,0.0,0.0,0.551641586867305,2.5e-05
20,0.4566760567518381,0.5811550151975684,0.7236693091732729,0.5894833948339483,0.6497203863751907,0.6156096454012668,0.4693329632282257,0.2833333333333333,0.0,0.0,0.0,0.5530095759233926,2.5e-05
21,0.4580523371696472,0.5835866261398176,0.7254237288135593,0.5922509225092251,0.6521076688674454,0.6167089277844651,0.4694814085960388,0.2833333333333333,0.0,0.0,0.0,0.5512140902872777,2.5e-05
22,0.45200382516934323,0.5939209726443769,0.7305986696230599,0.6079335793357934,0.6636455186304129,0.6292400891923358,0.46950696408748627,0.2833333333333333,0.0,0.0,0.0,0.5508720930232558,2.5e-05
23,0.4551345087014712,0.5823708206686931,0.7237880496054115,0.5922509225092251,0.6514459665144596,0.6196466510119647,0.4690137058496475,0.2833333333333333,0.0,0.0,0.0,0.5475376196990425,2.5e-05
