epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_auc,val_loss,val_acc,val_precision,val_recall,val_f1,val_auc,lr
1,0.8145465988379258,0.3458966565349544,0.6538461538461539,0.015682656826568265,0.03063063063063063,0.5291503048720326,0.5028374493122101,0.2833333333333333,0.0,0.0,0.0,0.5908857729138167,0.0002
2,0.593899456354288,0.3860182370820669,0.6594827586206896,0.1411439114391144,0.23252279635258358,0.532692345640034,0.49464328587055206,0.2833333333333333,0.0,0.0,0.0,0.6055061559507524,0.0002
3,0.49954156692211443,0.5124620060790274,0.7098214285714286,0.44003690036900367,0.5432801822323462,0.5726167689484382,0.48155416548252106,0.2833333333333333,0.0,0.0,0.0,0.6137995896032831,0.0002
4,0.5086646538514358,0.5495440729483283,0.689922480620155,0.5747232472324724,0.6270759939607449,0.5435782833764167,0.48727335035800934,0.2833333333333333,0.0,0.0,0.0,0.6243160054719562,0.0002
5,0.48360786988185,0.5519756838905775,0.704840613931523,0.5507380073800738,0.6183324702226826,0.5857506034953398,0.48789259791374207,0.2833333333333333,0.0,0.0,0.0,0.6375683994528044,0.0002
6,0.4925382458246671,0.5379939209726444,0.6892523364485982,0.544280442804428,0.6082474226804123,0.5560346245173682,0.4853198081254959,0.2833333333333333,0.0,0.0,0.0,0.6464603283173735,0.0002
7,0.47792724004158604,0.5653495440729484,0.711340206185567,0.5728782287822878,0.6346448645886561,0.5841374456525315,0.4863567501306534,0.2833333333333333,0.0,0.0,0.0,0.6474863201094391,0.0001
8,0.4806675360752986,0.5483282674772036,0.695303550973654,0.5599630996309963,0.6203372508942259,0.5675873670501411,0.484614834189415,0.2833333333333333,0.0,0.0,0.0,0.6550102599179206,0.0001
9,0.47612021978084856,0.5671732522796352,0.7071269487750557,0.5857933579335793,0.6407669021190716,0.5778089665923397,0.4847263842821121,0.2833333333333333,0.0,0.0,0.0,0.6579172366621067,0.0001
10,0.4741153441942655,0.5556231003039513,0.7088757396449704,0.5525830258302583,0.6210471747019181,0.5803865658977445,0.4853608161211014,0.2833333333333333,0.0,0.0,0.0,0.6588577291381669,0.0001
11,0.47923383116722107,0.5483282674772036,0.7086903304773562,0.5341328413284133,0.6091530773277223,0.5703178956923258,0.48551975190639496,0.2833333333333333,0.0,0.0,0.0,0.6610807113543091,0.0001
12,0.47522608362711394,0.5544072948328268,0.708185053380783,0.5507380073800738,0.6196159833938765,0.5763248942649855,0.48264530301094055,0.2833333333333333,0.0,0.0,0.0,0.6583447332421342,0.0001
13,0.4709830123644609,0.5440729483282675,0.7012048192771084,0.5369003690036901,0.6081504702194357,0.5784478165637271,0.4829457700252533,0.2833333333333333,0.0,0.0,0.0,0.6603967168262654,5e-05
14,0.46862261111919695,0.5750759878419452,0.7165354330708661,0.5876383763837638,0.6457171819564116,0.5950620268234768,0.4828787297010422,0.2833333333333333,0.0,0.0,0.0,0.6602257181942545,5e-05
15,0.47195292436159575,0.5756838905775076,0.7259953161592506,0.5719557195571956,0.6398348813209495,0.5869756825910505,0.4828246533870697,0.2833333333333333,0.0,0.0,0.0,0.6591997264021888,5e-05
16,0.47206174639555126,0.5708206686930091,0.71,0.5894833948339483,0.6441532258064516,0.5809029079595609,0.4838728904724121,0.2833333333333333,0.0,0.0,0.0,0.658857729138167,5e-05
17,0.46402694628788876,0.5635258358662614,0.7147887323943662,0.5618081180811808,0.6291322314049587,0.5932786734284455,0.4845845699310303,0.2833333333333333,0.0,0.0,0.0,0.6595417236662107,5e-05
18,0.47159037910974944,0.5617021276595745,0.7098265895953757,0.566420664206642,0.6300667008722421,0.5823368260420572,0.4841085523366928,0.2833333333333333,0.0,0.0,0.0,0.659028727770178,5e-05
19,0.46962109437355626,0.5677811550151975,0.7079152731326644,0.5857933579335793,0.6410903584048461,0.5863096999953957,0.48438529670238495,0.2833333333333333,0.0,0.0,0.0,0.6602257181942546,2.5e-05
20,0.4719936022391686,0.541033434650456,0.6946745562130178,0.5415129151291513,0.6086054950751685,0.5791910860285073,0.48398230969905853,0.2833333333333333,0.0,0.0,0.0,0.6611662106703147,2.5e-05
21,0.46860144000787,0.5659574468085107,0.7131336405529954,0.5710332103321033,0.6342213114754098,0.5888239898441765,0.48398177325725555,0.2833333333333333,0.0,0.0,0.0,0.6608242134062927,2.5e-05
22,0.46949188067362857,0.5537993920972645,0.7053990610328639,0.5544280442804428,0.6208677685950413,0.5790085574652538,0.4847164750099182,0.2833333333333333,0.0,0.0,0.0,0.6617647058823529,2.5e-05
23,0.4714143230364873,0.5696048632218845,0.7191142191142191,0.5691881918819188,0.635427394438723,0.589073938867731,0.4846753776073456,0.2833333333333333,0.0,0.0,0.0,0.6627051983584131,2.5e-05
24,0.46524406854922956,0.5762917933130699,0.7196367763904654,0.584870848708487,0.6452926208651399,0.6075866106254646,0.4850488156080246,0.2833333333333333,0.0,0.0,0.0,0.6622777017783859,2.5e-05
25,0.46387561697226304,0.5781155015197569,0.7299528301886793,0.5710332103321033,0.6407867494824017,0.6046168215692852,0.4850463420152664,0.2833333333333333,0.0,0.0,0.0,0.6622777017783859,1.25e-05
26,0.4682959020137787,0.5610942249240122,0.7149643705463183,0.5553505535055351,0.6251298026998962,0.5919351974268405,0.48496928811073303,0.2833333333333333,0.0,0.0,0.0,0.6626196990424077,1.25e-05
27,0.4733342688817244,0.5586626139817629,0.7052752293577982,0.5673431734317343,0.6288343558282209,0.5756506896619767,0.48439426720142365,0.2833333333333333,0.0,0.0,0.0,0.6620212038303694,1.25e-05
28,0.4660929487301753,0.5574468085106383,0.7,0.5747232472324724,0.6312056737588653,0.5838381645848544,0.4839222878217697,0.2833333333333333,0.0,0.0,0.0,0.6620212038303694,1.25e-05
29,0.46072969986842227,0.5768996960486322,0.7276995305164319,0.5719557195571956,0.640495867768595,0.6087952457064677,0.48436373472213745,0.2833333333333333,0.0,0.0,0.0,0.6627051983584131,1.25e-05
